epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,1.0924045220088323,1.033712131078126,0.48975409836065575,0.43323525822612413,0.6259489448699177,0.6259489448699177,0.0009990133642141358,True
2,0.9809485320019563,0.8197662136593803,0.7581967213114754,0.6745303333461256,0.8511497220421426,0.7385493334560301,0.000996057350657239,True
3,0.8280844759305923,0.6225002505740181,0.8299180327868853,0.7688624508581697,0.933966998508212,0.8036885551400909,0.0009911436253643444,True
4,0.7419712917221716,0.5073989004385276,0.8463114754098361,0.7994857331977007,0.9458453369945176,0.9103206858482906,0.0009842915805643156,True
5,0.6413453861603161,0.400944644798998,0.8934426229508197,0.8539478508075149,0.9668802006559952,0.9488975120529082,0.0009755282581475769,True
6,0.565236029003372,0.32380623846757606,0.8975409836065574,0.8652686610659392,0.9783709593457516,0.9636988323320881,0.0009648882429441258,True
7,0.5172826048592859,0.29608992132984224,0.8995901639344263,0.8694395380009269,0.9808866571373741,0.975379272379707,0.0009524135262330099,True
8,0.4760406611648545,0.28360453467877184,0.9077868852459017,0.8805811537498552,0.987418357803726,0.9822253247622839,0.0009381533400219318,True
9,0.4346615427397865,0.2420458629971645,0.9200819672131147,0.8943246683627019,0.9890105539019872,0.985771856281029,0.0009221639627510075,True
10,0.41270161281870615,0.25428894675168834,0.9118852459016393,0.8837655305873834,0.9873472315945414,0.9879253811000849,0.0009045084971874736,True
11,0.3859358062980064,0.24757855813034246,0.9221311475409836,0.8971604782624625,0.9888888565392264,0.9884155473452516,0.0008852566213878945,True
12,0.37160021483501177,0.25926766007161534,0.9139344262295082,0.8878859068127908,0.9874985800178949,0.9879115560505544,0.0008644843137107056,False
13,0.35909696097718774,0.22339493451548403,0.9323770491803278,0.9077705698206757,0.9894304098298002,0.9886059487956406,0.0008422735529643443,True
14,0.34967349471079523,0.23656574380202372,0.9200819672131147,0.8937130009572076,0.9877573576315296,0.988228782493075,0.0008187119948743448,False
15,0.3482602484502983,0.21347243839600047,0.9385245901639344,0.9140683022089764,0.9888881282441345,0.9886919652351548,0.0007938926261462366,True
16,0.34486847543126625,0.2427747614193158,0.9262295081967213,0.9019617236765995,0.9869321891631814,0.9878592250129485,0.0007679133974894982,False
17,0.3368395899558045,0.23163004756950942,0.9282786885245902,0.9045400998077814,0.9875346760028436,0.9877849978033865,0.0007408768370508576,False
18,0.33254459948340104,0.24186493694537975,0.9262295081967213,0.9022715583994568,0.9857797555520639,0.9867488735726964,0.0007128896457825362,False
19,0.33006274294671734,0.2447411642089242,0.9241803278688525,0.899394388499022,0.9846912508994353,0.9860018941514476,0.0006840622763423389,False
20,0.3324654568217121,0.24172346782488902,0.9282786885245902,0.9042271475954796,0.9853111344199218,0.985260713623807,0.0006545084971874735,False
21,0.3325730340464925,0.22329535060485856,0.9385245901639344,0.9167601167601168,0.9866606094331721,0.9855543315841765,0.0006243449435824271,False
