class,precision,recall,f1,support
glioma_tumor,0.9306930693069307,0.8663594470046083,0.8973747016706444,217
meningioma_tumor,0.7758620689655172,0.7692307692307693,0.7725321888412017,117
pituitary_tumor,0.8846153846153846,0.9857142857142858,0.9324324324324325,140
