epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,0.9877865734154786,0.7017964979664224,0.735655737704918,0.5160307366189719,0.5633325394935302,0.5316554701981079,0.8531513268145261,0.8531513268145261,0.02499845790602076,True
2,0.8544248987333078,0.8730247758451055,0.514344262295082,0.6381808056827841,0.625703526549469,0.47604515790331975,0.8703467042605517,0.8617490155375389,0.024993832004571646,True
3,0.8340862979784566,0.5392639346298624,0.8114754098360656,0.7149617498942836,0.6537974053737364,0.641799415055229,0.8986389877165201,0.8740456729305327,0.024986123437024627,True
4,0.793258709526425,0.772369073856561,0.5471311475409836,0.6598692702754662,0.6424391231089003,0.5111445111179429,0.8956479784776272,0.8882112234848997,0.024975334105353398,True
5,0.7447879380776018,0.8105472747969334,0.6331967213114754,0.6672682105292043,0.6380034593526068,0.5981382724846119,0.8929429233509972,0.8957432965150481,0.024961466671664104,True
6,0.7251730313990709,1.7765257699628834,0.4180327868852459,0.6089743589743589,0.42939689418562654,0.33597311340541264,0.8699104100422596,0.8861671039569613,0.024944524557538504,False
7,0.7188637671189348,0.45037859324060503,0.8114754098360656,0.7351028392689202,0.7131126682297483,0.7165375758307041,0.9457417861608933,0.9028650398513833,0.024924511943189752,True
8,0.6792661689441619,0.46443392458509225,0.8319672131147541,0.7900144360069609,0.7609945135606845,0.7644051984816316,0.9597690492613272,0.9251404151548267,0.02490143376643098,True
9,0.6613590513718457,1.1679210583145012,0.49385245901639346,0.6390573998885439,0.509437189941267,0.4491785590900636,0.9180220749341865,0.9411776367854691,0.024875295721456973,True
10,0.6316506178122719,0.38206177559055265,0.8770491803278688,0.8318742974758689,0.8447870999913908,0.8377513560579862,0.9700057780654886,0.9492656340870007,0.024846104257439227,True
11,0.63971419911743,0.39478466488787384,0.8463114754098361,0.8294674933719693,0.744223585539593,0.7682183609602232,0.9699182326276046,0.9526486952090932,0.024813866576934678,True
12,0.6210960529170413,0.5005737788608817,0.7786885245901639,0.7511726344284484,0.6077879038939519,0.602885992579023,0.958603060586134,0.966175690426409,0.024778590634108612,True
13,0.5936566359876565,0.39523850155414125,0.8299180327868853,0.7848870709492726,0.8313747851880673,0.7972824943906304,0.9695077503286859,0.9660096811808082,0.024740285132772075,False
14,0.5739867004409049,0.33084822143809717,0.8811475409836066,0.8772922510813773,0.8006850502075723,0.8193033710342915,0.9813887140157996,0.9698331749768733,0.024698959524234346,True
15,0.5525949276366992,0.4367249723462785,0.8442622950819673,0.8326257519750669,0.8627603039847404,0.8370499248398543,0.9857439034254897,0.9788801225899917,0.02465462400497096,True
16,0.5452535291380478,0.42288083436547735,0.8340163934426229,0.8181041260725396,0.8668824569230099,0.8074025666694444,0.9806727697337724,0.9826017957250205,0.024607289514107893,True
17,0.5364940554385634,0.48328567589404153,0.8114754098360656,0.8007993917671338,0.8219962946688626,0.800023176332119,0.9768456081033429,0.981087427087535,0.02455696773072248,False
18,0.5213254520600461,0.4182283352510851,0.8258196721311475,0.8014114767860446,0.8688194260426415,0.8032595599359217,0.9854184343677415,0.9809789374016189,0.024503671070961793,False
19,0.5341687942265784,0.5369472024870701,0.7807377049180327,0.7764873235127695,0.8327282261481886,0.7603884135576121,0.9779856419199965,0.9800832281303603,0.02444741268497913,False
20,0.5051092360838609,0.2630459472048478,0.9180327868852459,0.8870334307043168,0.8896934995700967,0.8860643158786395,0.9862607602003027,0.9832216121626803,0.024388206453689425,True
21,0.49274827785201575,0.30912893473124897,0.8975409836065574,0.859119795688068,0.9090400464228572,0.8685731130206568,0.9872661417288349,0.9838375146163779,0.02432606698534432,True
22,0.48361287357464616,0.25339351118099496,0.9282786885245902,0.8916677362769008,0.9119783717786595,0.8996008695257066,0.9860195751270918,0.9865154923520766,0.02426100961192782,True
23,0.49369769710001776,0.40323506017810984,0.8442622950819673,0.8281640945575371,0.8639828172815571,0.8328408189003773,0.9892826643968613,0.9875227937509293,0.024193050385373345,True
24,0.4847972459672861,0.41129112271133994,0.8217213114754098,0.7869139503987607,0.8491048058614448,0.7987130252809482,0.9793132054681785,0.9848718149973772,0.024122206073603145,False
25,0.44574085144515724,0.3971360398792341,0.8545081967213115,0.8254755996691481,0.8910913284741393,0.8412555047121771,0.9866922536415931,0.9850960411688776,0.024048494156391088,False
26,0.44326138538933163,0.29830960752289803,0.8934426229508197,0.8557045696791613,0.9170213788885572,0.8740727346908498,0.9863972269685529,0.9841342286927749,0.023971932821049764,False
27,0.4439450274412117,0.29327839124398153,0.889344262295082,0.8896047904668594,0.8635646537796279,0.8699078741887951,0.9856508523864198,0.986246777665522,0.023892540957943065,False
28,0.430559170801905,0.32455452922426287,0.8668032786885246,0.8575860817834512,0.8587557735074415,0.8514635059409029,0.9866863962085125,0.9862448251878284,0.023810338155825245,False
29,0.4379936705363806,0.2001651107165657,0.9426229508196722,0.9545369840967325,0.8916395251719894,0.9164869171333078,0.9895552973487757,0.9872975153145692,0.023725344697007697,False
30,0.4400726610654655,0.2271790356665361,0.9262295081967213,0.8887532220865554,0.918219741566011,0.8986142605190223,0.9909543860203813,0.9890653598592231,0.0236375815523546,True
31,0.44257863925027346,0.19015073977777217,0.9467213114754098,0.9495565155071635,0.8967836070962569,0.917756499959788,0.9888806382279517,0.9897967738657029,0.023547070376108675,True
32,0.4219551206939454,0.21234249228947474,0.9487704918032787,0.9493523398059788,0.9060462640892588,0.923549352477765,0.9876218600526903,0.9891522947670078,0.023453833500548298,False
33,0.40639147681355137,0.21581877187871543,0.9323770491803278,0.8966045671828066,0.9259358644524127,0.9081997626386151,0.9875131779962336,0.9880052254256252,0.023357893930477394,False
34,0.4197126918753253,0.2040857903537203,0.9282786885245902,0.8973619970076383,0.9104336266068268,0.9009513892482021,0.9883772088129438,0.9878374156206225,0.0232592753375493,False
35,0.4005039541013574,0.20237728107537403,0.9221311475409836,0.8838917831195704,0.9209887889694283,0.8954427141843159,0.9915607858320494,0.9891503908804089,0.02315800205442616,False
36,0.4150707544767777,0.24969422722571208,0.9180327868852459,0.9042804942960311,0.904041427256881,0.9029376212119725,0.9876620379668609,0.989200010870618,0.023054099068775195,False
37,0.3907188891116831,0.2379779888347524,0.9282786885245902,0.9219198790627363,0.9034871929041902,0.9114256822738804,0.986316264964155,0.9885130295876885,0.022947592017103387,False
38,0.3910834472821396,0.20993899300572325,0.930327868852459,0.906427014156109,0.9075707719365331,0.9068083308231815,0.9876584843085654,0.9872122624131938,0.02283850717843203,False
39,0.399180891880186,0.22658876726617577,0.9180327868852459,0.8885696632684584,0.8972843970227653,0.8891592737746583,0.9881056214655866,0.9873601235794357,0.0227268714678128,False
40,0.3779192820092137,0.20139604037413833,0.9467213114754098,0.9160765801206399,0.934160044812816,0.9232376370109513,0.9898355071778911,0.9885332043173477,0.022612712429686852,False
41,0.38308580391300395,0.35723331289701776,0.8668032786885246,0.8365602836879432,0.8982882130442414,0.8523031198167313,0.9933638085608867,0.9904349790681214,0.022496058231088644,True
42,0.3852428970566032,0.19549512002067487,0.9610655737704918,0.9587421837421837,0.9275246621428979,0.9409426156435597,0.9896618420486135,0.9909537192624637,0.022376937654696137,True
43,0.3872893033256767,0.19793647704798667,0.9467213114754098,0.9447325209575664,0.8989064018148744,0.9177115323927617,0.9870251160115862,0.9900169222070287,0.022255380091729133,False
44,0.380323880094216,0.17105932039071303,0.9487704918032787,0.9271652003910069,0.9346092910563325,0.9305980131169255,0.992145421909337,0.9896107933231789,0.022131415534697378,False
45,0.3711959327208667,0.17676274307438586,0.9487704918032787,0.9343714605121868,0.9270183936036638,0.9305484480039573,0.9904813497694903,0.9898839625634711,0.0220050745700004,False
