epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,0.6874946915570267,0.25419426550630664,0.9139344262295082,0.8846467789554543,0.9913525778820068,0.9913525778820068,0.0009990133642141358,True
2,0.45350193917808024,0.27594387751133714,0.8934426229508197,0.8624050204141717,0.9927977824778781,0.9920751801799425,0.000996057350657239,True
3,0.37883705102070303,0.21030535103111972,0.9467213114754098,0.9245752827402626,0.9922605386460281,0.9921369663353042,0.0009911436253643444,True
4,0.34425514264406193,0.21429374777391308,0.9385245901639344,0.9140773509376044,0.9909966513801031,0.9920183241680031,0.0009842915805643156,False
5,0.32926294950504287,0.21040582956104983,0.944672131147541,0.9230719417364853,0.9920818215986111,0.9917796705415808,0.0009755282581475769,False
6,0.322290824323921,0.21235161848732684,0.9487704918032787,0.9274154570430958,0.9910197071377715,0.9913660600388287,0.0009648882429441258,False
7,0.31964750790686747,0.21024191758183183,0.9487704918032787,0.9273536089462984,0.9908156572850365,0.9913057286738064,0.0009524135262330099,False
8,0.31483200405122663,0.22428109875467958,0.944672131147541,0.9226427263583932,0.9897125432971622,0.9905159692399902,0.0009381533400219318,False
9,0.31415111155423747,0.24004637456086816,0.9364754098360656,0.9130992083007127,0.9891032117291759,0.9898771374371248,0.0009221639627510075,False
10,0.31165060449168297,0.21499316907319865,0.9405737704918032,0.9175307046230832,0.9906341367011989,0.9898166305758457,0.0009045084971874736,False
11,0.3090571528610788,0.20750626207130854,0.9405737704918032,0.9175307046230832,0.9906131190569624,0.990116822495779,0.0008852566213878945,False
12,0.31025701162930786,0.22202626902793274,0.9385245901639344,0.9154595030875002,0.9901739981818385,0.9904737513133334,0.0008644843137107056,False
13,0.3074969849509358,0.21234294955359131,0.9364754098360656,0.9127013085154859,0.990605165493308,0.9904640942440363,0.0008422735529643443,False
14,0.3099570572943374,0.23510881904207293,0.9344262295081968,0.9107553412974378,0.9900425689681517,0.9902739108810993,0.0008187119948743448,False
15,0.30912051849655603,0.22406405784556124,0.9385245901639344,0.9154595030875002,0.9898627943776246,0.9901701762796948,0.0007938926261462366,False
16,0.3091445286766219,0.2154237122320738,0.9405737704918032,0.918196797102762,0.9899001789994962,0.9899351807817575,0.0007679133974894982,False
17,0.3047015560626076,0.22215288767560584,0.9385245901639344,0.9164477097256554,0.9897476137434879,0.9898368623735362,0.0007408768370508576,False
18,0.306216148905931,0.21548960113623103,0.944672131147541,0.9230719417364853,0.9901642056391887,0.9899373327940576,0.0007128896457825362,False
19,0.30574714479618814,0.22673317435823503,0.9426229508196722,0.9212596004939395,0.9897670668666333,0.9898929620831033,0.0006840622763423389,False
20,0.3066920295258458,0.20684544790963658,0.9426229508196722,0.9209467268660564,0.9911123508192453,0.9903478744416891,0.0006545084971874735,False
21,0.30395419032203935,0.21203489125263494,0.9426229508196722,0.9206251418675144,0.990446678840356,0.9904420321754115,0.0006243449435824271,False
22,0.30265649900790287,0.21763610143641957,0.9405737704918032,0.9175307046230832,0.9903300578519887,0.9906296958371966,0.0005936906572928622,False
23,0.30514349892636233,0.22086421717874338,0.9385245901639344,0.9154595030875002,0.9903736222042832,0.9903834529655425,0.000562666616782152,False
24,0.3046466301272417,0.21783310260440483,0.9405737704918032,0.918196797102762,0.9902356700257773,0.9903131166940163,0.0005313952597646566,False
25,0.30468361994178944,0.2331097994427212,0.9385245901639344,0.9154595030875002,0.9898146759751422,0.9901413227350675,0.0004999999999999998,False
26,0.30329131807859006,0.22026829690229696,0.9405737704918032,0.918196797102762,0.9904254855590929,0.9901586105200041,0.00046860474023534314,False
27,0.3032032458074426,0.22720756235181308,0.9385245901639344,0.9154595030875002,0.9897321505200255,0.9899907706847535,0.00043733338321784774,False
28,0.3013213517890444,0.21733781634295574,0.9426229508196722,0.9206251418675144,0.9902293479775502,0.9901289946855562,0.00040630934270713756,False
29,0.30390619670176483,0.21419504626852567,0.9426229508196722,0.9215781022640361,0.9906323234240779,0.9901979406405511,0.00037565505641757246,False
30,0.3025423599695955,0.2192855129232172,0.9405737704918032,0.9178365986145441,0.9904773233899741,0.9904463315972007,0.00034549150281252633,False
31,0.3035534622553527,0.22239849740853074,0.9405737704918032,0.9178365986145441,0.990555296999367,0.9905549812711397,0.00031593772365766105,False
32,0.30276957196808224,0.23188792743155215,0.9385245901639344,0.9154595030875002,0.9898543456843204,0.9902956553578872,0.00028711035421746355,False
33,0.30200973808141574,0.2239326331459108,0.9385245901639344,0.9154595030875002,0.9901806200339527,0.9901967542392134,0.0002591231629491422,False
34,0.30253563264117256,0.22090699145051299,0.9385245901639344,0.9164477097256554,0.9902793310609025,0.9901047655930585,0.00023208660251050145,False
35,0.3012419237509781,0.22640982697733114,0.9385245901639344,0.9154595030875002,0.9898768371799557,0.9901122627582702,0.00020610737385376337,False
36,0.30122541760286753,0.22774806313338827,0.9405737704918032,0.9188448749276986,0.9900348167433983,0.9900636616614188,0.00018128800512565502,False
37,0.3035183664903995,0.22317134075966039,0.9405737704918032,0.9188448749276986,0.990013795112542,0.989975149678632,0.00015772644703565555,False
38,0.3028935126811408,0.21516395128164134,0.9426229508196722,0.9206251418675144,0.9904176701486769,0.9901554273348724,0.00013551568628929425,False
