epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,0.7937493164351053,0.336415706599345,0.8995901639344263,0.8596980379573983,0.9720740406572514,0.9720740406572514,0.0009990133642141358,True
2,0.5401172910725696,0.2956586323800634,0.9036885245901639,0.8691910441152405,0.9774734412912852,0.9747737409742683,0.000996057350657239,True
3,0.4567973980951264,0.21636858411499713,0.9405737704918032,0.9164416314210803,0.9901192659668988,0.9798889159718117,0.0009911436253643444,True
4,0.4078764965373147,0.23232845400200516,0.9221311475409836,0.8926678986635648,0.9879663065537017,0.9851863379372953,0.0009842915805643156,True
5,0.3842315291303549,0.23223579589460716,0.9426229508196722,0.9199926424984527,0.9882099644677446,0.988765178996115,0.0009755282581475769,True
6,0.36908793891757924,0.20274002392028198,0.9487704918032787,0.9242653771340947,0.9891790127026265,0.9884517612413576,0.0009648882429441258,False
7,0.36569024031214437,0.2160334098534506,0.9426229508196722,0.920330438297113,0.9883108893115705,0.9885666221606472,0.0009524135262330099,False
8,0.35187183324775734,0.22860122337693073,0.9405737704918032,0.9124438815148936,0.9860073763872501,0.9878324261338157,0.0009381533400219318,False
9,0.348602168822039,0.23661043482725738,0.9364754098360656,0.9113749601511287,0.9843611431614474,0.9862264696200893,0.0009221639627510075,False
10,0.34101809208218425,0.22307227942787233,0.9487704918032787,0.9274154570430958,0.9855374497792796,0.9853019897759924,0.0009045084971874736,False
11,0.33715690883650995,0.19623533624117492,0.9528688524590164,0.9307023183156696,0.9877280508543987,0.9858755479317085,0.0008852566213878945,False
12,0.33613315207633826,0.2276707204883216,0.9405737704918032,0.9172696962774026,0.9856577941826653,0.9863077649387813,0.0008644843137107056,False
13,0.33215010327798317,0.21856954626616884,0.9467213114754098,0.9249364958258566,0.9857174357084663,0.98636776024851,0.0008422735529643443,False
14,0.335280108690035,0.21798820781414627,0.9508196721311475,0.9311290863606473,0.9859615692413687,0.9857789330441667,0.0008187119948743448,False
15,0.3303098365253318,0.20667389352790644,0.9549180327868853,0.9388043923208585,0.9874508361903208,0.9863766137133853,0.0007938926261462366,False
16,0.33223576368772906,0.19904904659898554,0.9569672131147541,0.9396787305414497,0.988655297011361,0.9873559008143502,0.0007679133974894982,False
17,0.3263288290017452,0.20012233748299177,0.9549180327868853,0.9379890078042029,0.9895529560051761,0.9885530297356193,0.0007408768370508576,False
18,0.3256131840478115,0.18600834588535498,0.9569672131147541,0.9398989768405169,0.9906583328763761,0.9896221952976377,0.0007128896457825362,True
19,0.32248409856624766,0.20643580375147647,0.9487704918032787,0.928114559824234,0.9885144219422032,0.9895752369412518,0.0006840622763423389,False
20,0.3263422465403799,0.2013190251881959,0.9590163934426229,0.9427415574000072,0.9886533789002239,0.9892753779062677,0.0006545084971874735,False
21,0.32165612551170114,0.20277166329934948,0.9528688524590164,0.933388450818828,0.9887965953394833,0.9886547987273034,0.0006243449435824271,False
22,0.3168389059383454,0.2005360942395007,0.9528688524590164,0.9330522878333009,0.9891222816853094,0.9888574186416722,0.0005936906572928622,False
23,0.32185475467274466,0.20035900309926175,0.9528688524590164,0.9351246944681783,0.9887854790585328,0.9889014520277751,0.000562666616782152,False
24,0.32051816163008606,0.20609002267239523,0.9508196721311475,0.9305273439081402,0.9882669400552196,0.988724900266354,0.0005313952597646566,False
25,0.32182143170645305,0.22298285291820277,0.9467213114754098,0.9254667449069066,0.9863887368313424,0.9878137186483649,0.0004999999999999998,False
26,0.3171354116824102,0.21068103403830138,0.9528688524590164,0.9330522878333009,0.9872136868324098,0.9872897879063239,0.00046860474023534314,False
27,0.3177649223951926,0.2044442427940056,0.9569672131147541,0.9390280753109116,0.9874385177775741,0.9870136471471088,0.00043733338321784774,False
28,0.3149651225751973,0.19838565917777234,0.9569672131147541,0.938506530761264,0.9891764241142872,0.9879428762414237,0.00040630934270713756,False
