epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,1.1411675823857736,1.0322811623088648,0.5061475409836066,0.16871584699453554,0.3333333333333333,0.22403628117913832,0.6769969929708806,0.6769969929708806,0.02499845790602076,True
2,1.1146807195344048,1.0444379282779381,0.5122950819672131,0.5030927835051546,0.33921568627450976,0.23651515630099917,0.7304463871011521,0.7037216900360164,0.024993832004571646,True
3,1.03903500246616,0.943750367789972,0.6229508196721312,0.4850085272597238,0.4493768357545447,0.41727483329810733,0.8036664311608334,0.7370366037442887,0.024986123437024627,True
4,1.0059420833351724,0.8279889646123667,0.6639344262295082,0.4408118461181556,0.5222116376915138,0.47723573995469737,0.7676983956552784,0.7672704046390879,0.024975334105353398,True
5,0.9484519425400317,0.7650953194157022,0.6700819672131147,0.44489832970225124,0.5262602206874653,0.4815591295869232,0.7900952571094303,0.7871533613085141,0.024961466671664104,True
6,0.9264117161735368,0.7642221169882133,0.6680327868852459,0.4444668583051759,0.529800746209415,0.48041140812225147,0.7706168471063995,0.7761368332903694,0.024944524557538504,False
7,0.8884398811891122,0.7401440529549708,0.7069672131147541,0.4844173441734417,0.5444391521790902,0.5096741717965121,0.7701600506786223,0.7769573849648174,0.024924511943189752,False
8,0.8736753577736873,0.7319489595342855,0.6823770491803278,0.4624531626944069,0.5526950861316187,0.4907697768399389,0.8408952042061312,0.7938907006637176,0.02490143376643098,True
9,0.8648915450194129,0.6761722769893583,0.7254098360655737,0.48727119713864925,0.5675875208382949,0.5243139485283663,0.8164318222122172,0.8091623590323236,0.024875295721456973,True
10,0.8335795938458248,0.9830151058611323,0.5061475409836066,0.38860679798202796,0.437246963562753,0.3506960465648829,0.8316980490613574,0.829675025159902,0.024846104257439227,True
11,0.8348502550206788,0.6309234192136859,0.7418032786885246,0.49801820789789525,0.5796062554576487,0.5356381662990183,0.8145264988947517,0.8208854567227754,0.024813866576934678,False
12,0.826170998964845,0.6714588061707919,0.7848360655737705,0.6328895387173533,0.6204272870692441,0.5956951196976926,0.8521385786296706,0.8327877088619265,0.024778590634108612,True
13,0.8165183661099732,0.5878125526865975,0.8114754098360656,0.5592798125539523,0.6309915059141066,0.5906298802706923,0.8407252103980455,0.8357967626408226,0.024740285132772075,True
14,0.8192960086263553,0.6308770260361375,0.7520491803278688,0.5001489324633429,0.5961340001587679,0.5418288805016495,0.827593277730998,0.840152355586238,0.024698959524234346,True
15,0.8046968508401902,0.5672462607016329,0.7950819672131147,0.5357375827043146,0.6250853377788362,0.5769505020090501,0.8752855786163426,0.8478680222484621,0.02465462400497096,True
