class,precision,recall,f1,support
glioma_tumor,0.8874458874458875,0.9447004608294931,0.9151785714285714,217
meningioma_tumor,0.8717948717948718,0.5811965811965812,0.6974358974358974,117
pituitary_tumor,0.8484848484848485,1.0,0.9180327868852459,140
