epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,0.8085233035765865,0.30605741382622326,0.8975409836065574,0.8559655864677552,0.9776448810183277,0.9776448810183277,0.0009990133642141358,True
2,0.5299336440669821,0.29124720516752023,0.9098360655737705,0.8762392999039736,0.9779910804606278,0.9778179807394778,0.000996057350657239,True
3,0.43618115467984375,0.2631936048264386,0.9241803278688525,0.8897065243594021,0.9758865439735098,0.9771741684841552,0.0009911436253643444,False
4,0.38656678733430966,0.21936240462494677,0.9385245901639344,0.9165590138982046,0.9871006520832752,0.9803260921724709,0.0009842915805643156,True
5,0.3708123491844827,0.24415226866964435,0.9323770491803278,0.9074705455494477,0.984683452064953,0.9825568827072461,0.0009755282581475769,True
6,0.3658802545036621,0.281127287716162,0.9139344262295082,0.8907077409522941,0.9835068996737558,0.9850970012739947,0.0009648882429441258,True
7,0.3532301406991924,0.23513750915156037,0.9323770491803278,0.904962180008377,0.9852890981904355,0.9844931499763815,0.0009524135262330099,False
8,0.35377635307021643,0.23012303469366716,0.9385245901639344,0.9158984911216147,0.9856859821938223,0.9848273266860046,0.0009381533400219318,False
9,0.3470057790388276,0.24118832523216965,0.9344262295081968,0.9084695908156496,0.9835757416402519,0.9848502740081698,0.0009221639627510075,False
10,0.34362795291119363,0.2493367796061469,0.9200819672131147,0.8910322229516291,0.9844318647513376,0.9845645295284706,0.0009045084971874736,False
11,0.34667817526607714,0.2032328499633758,0.944672131147541,0.9195477553571321,0.9879229217586363,0.9853101760500752,0.0008852566213878945,True
12,0.34184674894548844,0.21375005203680914,0.9405737704918032,0.9165428838642241,0.9868267657950683,0.9863938507683474,0.0008644843137107056,True
13,0.33381089511425804,0.22287758000072885,0.944672131147541,0.9230637208049939,0.9869669826390549,0.9872388900642531,0.0008422735529643443,True
14,0.33849420976230465,0.2303854244165733,0.9385245901639344,0.9136785490724275,0.9867499752554921,0.9868479078965384,0.0008187119948743448,False
15,0.3390854493591697,0.2134502626589087,0.944672131147541,0.9214001921249397,0.988279698273665,0.9873322187227375,0.0007938926261462366,True
16,0.3423049760987711,0.2139857445583969,0.944672131147541,0.9227919391038885,0.9858923512977041,0.9869740082756203,0.0007679133974894982,False
17,0.3267162053160844,0.22326585412269734,0.9385245901639344,0.9151034571239983,0.9870910407684814,0.9870876967799501,0.0007408768370508576,False
18,0.3248267876432693,0.2182381027301804,0.9426229508196722,0.9195884269315537,0.9883290168478425,0.987104136304676,0.0007128896457825362,False
19,0.33092462752797736,0.2061597117390789,0.9385245901639344,0.9151994731826664,0.9897534191247565,0.9883911589136934,0.0006840622763423389,True
20,0.32667762330324734,0.209024721664972,0.9364754098360656,0.912958960375804,0.9905305983666665,0.9895376781130886,0.0006545084971874735,True
21,0.32302074677370257,0.205574171587092,0.944672131147541,0.9217606537214466,0.9902052211578135,0.9901630795497455,0.0006243449435824271,True
22,0.3251085925623987,0.23962730205938465,0.9344262295081968,0.9113718159491403,0.9871750090053499,0.9893036095099433,0.0005936906572928622,False
23,0.32457101311034864,0.2195174756963722,0.9426229508196722,0.9206131127228897,0.9888440081846923,0.9887414127826185,0.000562666616782152,False
24,0.3238153543560761,0.19612359206696026,0.9528688524590164,0.9352188118959802,0.9920862083409036,0.9893684085103153,0.0005313952597646566,False
25,0.3209457882918368,0.2170462894757263,0.9426229508196722,0.9223250948997218,0.9906639469849191,0.9905313878368384,0.0004999999999999998,True
26,0.31739148111937726,0.18623440211913625,0.9426229508196722,0.9190144302517528,0.9921849841577255,0.991645046494516,0.00046860474023534314,True
27,0.3186496687888192,0.20834286113987205,0.9405737704918032,0.9184682502215485,0.9912702322735935,0.9913730544720792,0.00043733338321784774,False
28,0.3256096745478778,0.20984582248769823,0.9405737704918032,0.9170448321391719,0.9902534089370428,0.9912362084561206,0.00040630934270713756,False
29,0.3158064321264781,0.21174516730376933,0.9405737704918032,0.9188248077136967,0.9899038690952923,0.9904758367686428,0.00037565505641757246,False
30,0.3171441702191655,0.23647758670029093,0.9262295081967213,0.8998190585027467,0.9882914860994925,0.9894829213772759,0.00034549150281252633,False
31,0.31974366091751805,0.2169883816701467,0.9364754098360656,0.9123274883556635,0.9889509470552552,0.9890487674166799,0.00031593772365766105,False
32,0.3175518311397106,0.2087209365162693,0.9385245901639344,0.9150250919152251,0.9916162595502586,0.9896195642350021,0.00028711035421746355,False
33,0.31652084117725166,0.21851896836620863,0.9344262295081968,0.9102112860005698,0.9904147798627667,0.9903273288227602,0.0002591231629491422,False
34,0.3170715490485463,0.21096126631390852,0.9405737704918032,0.9164224890641041,0.9904762719051132,0.9908357704393795,0.00023208660251050145,False
35,0.3170213286191594,0.21087858752637614,0.9426229508196722,0.9196302073542211,0.9904344004053359,0.990441817391072,0.00020610737385376337,False
36,0.31498822391203307,0.20734126926934132,0.9426229508196722,0.9196302073542211,0.9911964730443031,0.9907023817849175,0.00018128800512565502,False
37,0.31860309915810286,0.23157542345465207,0.9282786885245902,0.9042271475954796,0.9893477343758112,0.9903262026084834,0.00015772644703565555,False
38,0.31534531202121197,0.20581318877759527,0.9364754098360656,0.9123590618622236,0.9916968056686768,0.9907470043629304,0.00013551568628929425,False
39,0.31095852948845737,0.21690595076709498,0.9426229508196722,0.9211740903005964,0.9911978324178191,0.9907474574874358,0.00011474337861210535,False
40,0.3174205257368587,0.20583447374281336,0.9467213114754098,0.9258789925566164,0.992012677934544,0.9916357720070134,9.549150281252626e-05,False
41,0.31583012848893993,0.2102891129792714,0.9364754098360656,0.9123590618622236,0.9914628752630484,0.9915577952051372,7.783603724899252e-05,False
42,0.3155032477415141,0.2123940236500052,0.9405737704918032,0.9174817950491464,0.9909387110359505,0.9914714214111809,6.184665997806817e-05,False
43,0.3161812290818662,0.2029683222902603,0.944672131147541,0.9235639141343595,0.9917194040248467,0.9913736634412819,4.7586473766990294e-05,False
44,0.31521848672123665,0.2155993574711143,0.9385245901639344,0.9157864950793836,0.9909013264140789,0.9911864804916254,3.5111757055874305e-05,False
45,0.31594905940608453,0.20668081890364162,0.9405737704918032,0.915780696268501,0.990776140182895,0.9911322902072736,2.4471741852423218e-05,False
46,0.3135085495793173,0.21305513601811205,0.944672131147541,0.9240180427526689,0.9908663353442582,0.9908479339804107,1.5708419435684507e-05,False
47,0.31427012283273476,0.21613117924234906,0.9364754098360656,0.9133938328912907,0.990853514006568,0.9908319965112403,8.856374635655634e-06,False
48,0.31697671734980465,0.22482213054279812,0.9405737704918032,0.9191053229596124,0.9904225482119452,0.9907141325209238,3.942649342761115e-06,False
49,0.31722196278744486,0.2197421676799899,0.9323770491803278,0.9083334654273404,0.9902016635580093,0.9904925752588408,9.866357858642198e-07,False
