epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,1.1646745249161143,1.0411047486008191,0.5061475409836066,0.16871584699453554,0.3333333333333333,0.22403628117913832,0.5530124390724879,0.5530124390724879,0.02499845790602076,True
2,1.0971567068181642,1.0367307057146167,0.5061475409836066,0.16871584699453554,0.3333333333333333,0.22403628117913832,0.7595436105244878,0.6562780247984878,0.024993832004571646,True
3,1.0359683746842403,1.1366777537298984,0.5061475409836066,0.16871584699453554,0.3333333333333333,0.22403628117913832,0.660536104302513,0.6576973846331629,0.024986123437024627,True
4,0.9909843183153589,0.8971938793776465,0.6762295081967213,0.5198881722811194,0.4979122013177741,0.4722559355243014,0.765857600731326,0.7286457718527757,0.024975334105353398,True
5,0.9372900129498809,0.8444690118070508,0.6885245901639344,0.5185749602086085,0.511510677145352,0.48666093609639755,0.7576531917865806,0.7280156322734732,0.024961466671664104,False
6,0.9261486695336797,0.8005840651324538,0.6905737704918032,0.524724537578008,0.5122489481622609,0.4876785672535129,0.8049217053820575,0.7761441659666547,0.024944524557538504,True
7,0.8900201938812444,0.7110464829401891,0.7418032786885246,0.5164497041420119,0.5673811224894817,0.5342770655270656,0.8100592905295461,0.7908780625660614,0.024924511943189752,True
8,0.875189620182698,0.6505246201499564,0.764344262295082,0.5452852617619371,0.5834484401047869,0.5533256590140673,0.8371455312625476,0.8173755090580505,0.02490143376643098,True
9,0.8534779820864139,0.9510592554436356,0.6147540983606558,0.5226053639846743,0.4372549019607843,0.3998921662743448,0.829456505474664,0.8255537757555859,0.024875295721456973,True
10,0.8314006029708855,0.7172827466589505,0.7028688524590164,0.5218845307887916,0.5234023973962055,0.4972905025791963,0.8238347926820522,0.8301456098064213,0.024846104257439227,True
11,0.8379488129143937,0.6180170916143011,0.7663934426229508,0.511504232067438,0.6025244105739461,0.5531374755512687,0.8338254778048233,0.8290389253205132,0.024813866576934678,False
12,0.8038500187285847,0.6379764900832879,0.7745901639344263,0.5445890861275476,0.5950861316186393,0.5619480056980057,0.850171550063818,0.8359439401835645,0.024778590634108612,True
13,0.8139658750067655,0.6048530203397157,0.7868852459016393,0.5644493001587269,0.6019607843137255,0.5718634839961484,0.868632179633781,0.8508764025008074,0.024740285132772075,True
14,0.7954716555965616,0.5354278703204921,0.805327868852459,0.5404009667715741,0.6324442327538303,0.5828108778600224,0.879469387248474,0.8660910389820243,0.024698959524234346,True
15,0.770729115755642,0.5671897208104368,0.8073770491803278,0.5647660087466174,0.6240136540446137,0.5881605691056911,0.8667444988820328,0.8716153552547626,0.02465462400497096,True
16,0.7808615389491806,0.5412628123017608,0.8155737704918032,0.5723155118059576,0.6306342780026991,0.5949999734999656,0.8850574783685432,0.8770904548330166,0.024607289514107893,True
17,0.7779715721319109,0.5553550710443591,0.8176229508196722,0.7424260143585745,0.6353291136834502,0.6055621956214458,0.8636575571600216,0.8718198448035325,0.02455696773072248,False
18,0.7644373992303799,0.8191219187173687,0.6721311475409836,0.5356265356265356,0.49215686274509807,0.46692333621680454,0.830506734224436,0.859740589917667,0.024503671070961793,False
19,0.7497653680455674,0.5457839413744504,0.805327868852459,0.577575951989521,0.623275383027705,0.5941210690209766,0.8768544658188772,0.8570062524011116,0.02444741268497913,False
20,0.7600911457577169,0.5380831986177163,0.8176229508196722,0.5760202098717451,0.6319838056680162,0.5970931313936495,0.905010453577655,0.8707905512069893,0.024388206453689425,False
21,0.7397647674712082,0.6586711738930374,0.7295081967213115,0.5505716798592788,0.5470588235294117,0.5234997957867175,0.8664080160191433,0.8827576451385585,0.02432606698534432,True
