epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_macro_auc,checkpoint_score_smoothed,learning_rate,is_best
1,0.7891248191230984,0.37631483693591883,0.8709016393442623,0.8260644583247206,0.9751288678535367,0.9751288678535367,0.0009990133642141358,True
2,0.5046562347720625,0.22207036199139768,0.9426229508196722,0.9200037465519547,0.9913964349546779,0.9832626514041073,0.000996057350657239,True
3,0.41557622885953577,0.2532094333504067,0.9282786885245902,0.8966062808582493,0.984366385457388,0.9836305627552009,0.0009911436253643444,True
4,0.3801931076170035,0.24183407657947698,0.9200819672131147,0.8912517548165947,0.9872190781975781,0.9876606328698814,0.0009842915805643156,True
5,0.33799250008490517,0.2892013188512599,0.9016393442622951,0.8739774328834637,0.9848427951664772,0.9854760862738144,0.0009755282581475769,False
6,0.33168944376179654,0.235225112711797,0.9323770491803278,0.9065062852739566,0.9896333529879491,0.9872317421173348,0.0009648882429441258,False
7,0.3133629783066424,0.21293946245654685,0.9487704918032787,0.9279993056588801,0.9858414136566852,0.9867725206037038,0.0009524135262330099,False
8,0.30832194315037426,0.22915862158673708,0.9364754098360656,0.9120150298054083,0.9887276078680703,0.9880674581709016,0.0009381533400219318,True
9,0.3054033131343087,0.22340133554134212,0.9467213114754098,0.9250229053802169,0.9869826633922608,0.9871838949723388,0.0009221639627510075,False
10,0.30464108003308726,0.2180668483259248,0.9364754098360656,0.9127430950891539,0.9900270644522274,0.9885791119041861,0.0009045084971874736,True
11,0.3031132303738345,0.25111719599512755,0.9262295081967213,0.8996993133475738,0.9872118520843975,0.9880738599762952,0.0008852566213878945,False
12,0.30211109209355574,0.2185003206622405,0.9405737704918032,0.9175307046230832,0.989902359364315,0.98904709196698,0.0008644843137107056,True
13,0.3011525182583352,0.2179869492767287,0.9385245901639344,0.9133761955392442,0.989626277054284,0.9889134961676654,0.0008422735529643443,False
14,0.3008826090028238,0.22443658467687544,0.9364754098360656,0.9127084255440382,0.9893727790476273,0.9896338051554087,0.0008187119948743448,True
15,0.30039772002839904,0.21696811462523508,0.9385245901639344,0.9136901297492176,0.9898820895923781,0.989627048564763,0.0007938926261462366,False
16,0.2999708452868983,0.2053988837316388,0.9426229508196722,0.9202395425781366,0.9905600166204059,0.9899382950868038,0.0007679133974894982,True
17,0.29945568001689965,0.21785584873840458,0.9426229508196722,0.9202976465285378,0.9903409316795219,0.9902610126307686,0.0007408768370508576,True
18,0.2989203478187521,0.22283561674297833,0.9405737704918032,0.9185824739324584,0.9900081953462685,0.9903030478820654,0.0007128896457825362,True
19,0.29907038081951304,0.2197828096200208,0.9385245901639344,0.9158135099869517,0.9901854935103463,0.9901782068453788,0.0006840622763423389,False
20,0.298203390428387,0.21369862006824525,0.9426229508196722,0.9213664421997755,0.9904489281596124,0.9902142056720757,0.0006545084971874735,False
21,0.29839578205693007,0.21510751276719767,0.9385245901639344,0.9155576526051528,0.9903576163676248,0.9903306793458612,0.0006243449435824271,True
22,0.2980158309727822,0.21127899088820473,0.9426229508196722,0.9213664421997755,0.9907080140842114,0.9905048528704828,0.0005936906572928622,True
23,0.29808372202427696,0.2199332336666154,0.9364754098360656,0.9120241101126142,0.9898342532651481,0.9902999612389948,0.000562666616782152,False
24,0.2977471054450996,0.22369067322035305,0.9344262295081968,0.9099762938217183,0.9897974389184482,0.9901132354226024,0.0005313952597646566,False
25,0.29718699586266684,0.21225817819110682,0.9405737704918032,0.9176023452057995,0.990542122427522,0.990057938203706,0.0004999999999999998,False
26,0.2975638263799484,0.21182479257466363,0.9405737704918032,0.9180515961003767,0.9905001562714327,0.9902799058724677,0.00046860474023534314,False
27,0.2975501635889004,0.21453705381174556,0.9426229508196722,0.9207313852364694,0.9907744370862565,0.9906055719284037,0.00043733338321784774,True
28,0.297491084809081,0.21030159257963055,0.944672131147541,0.9235488189699201,0.9907261016427568,0.990666898333482,0.00040630934270713756,True
29,0.2969739933903165,0.2218794291380976,0.9364754098360656,0.9127261586172049,0.9902840171847732,0.9905948519712622,0.00037565505641757246,False
30,0.2974193743531983,0.2189837495078806,0.9385245901639344,0.9158135099869517,0.9904010702950736,0.9904703963742012,0.00034549150281252633,False
31,0.2973544759255835,0.21831344910820977,0.944672131147541,0.9230719417364853,0.9905482311769886,0.9904111062189451,0.00031593772365766105,False
32,0.2970300669561217,0.21519143244282143,0.9405737704918032,0.9176023452057995,0.9904537702317739,0.9904676905679454,0.00028711035421746355,False
33,0.2971273661226913,0.2206003348358342,0.9385245901639344,0.9158135099869517,0.9905159806358718,0.9905059940148782,0.0002591231629491422,False
34,0.2970674048992251,0.21485685251775336,0.9426229508196722,0.9213664421997755,0.9907539107629956,0.9905745538768804,0.00023208660251050145,False
35,0.29704425927007005,0.214665347191154,0.9405737704918032,0.9182702230550047,0.9906433748487391,0.9906377554158688,0.00020610737385376337,False
36,0.2968890334060371,0.21536494425085725,0.9405737704918032,0.9179299185106978,0.9903190814400147,0.9905721223505831,0.00018128800512565502,False
37,0.2967392068097526,0.21832319263552055,0.9405737704918032,0.9185824739324584,0.9905319431535494,0.9904981331474344,0.00015772644703565555,False
38,0.2967205317841611,0.21515302445556297,0.9426229508196722,0.9213664421997755,0.9907014851062539,0.9905175032332726,0.00013551568628929425,False
39,0.29716122297873165,0.2149911846538059,0.9426229508196722,0.9213664421997755,0.9907473560831637,0.9906602614476556,0.00011474337861210535,False
40,0.2969342956193621,0.2165754753790918,0.944672131147541,0.9230719417364853,0.9907883929611517,0.9907457447168565,9.549150281252626e-05,True
41,0.2965969532643127,0.2148482435550846,0.9426229508196722,0.9213664421997755,0.9906983024558588,0.9907446838333914,7.783603724899252e-05,False
42,0.29716525678403255,0.21737420974207705,0.9426229508196722,0.9213664421997755,0.9906909664065591,0.9907258872745232,6.184665997806817e-05,False
43,0.2968125060328294,0.2157382814854872,0.9405737704918032,0.9185824739324584,0.9905950059080713,0.9906614249234963,4.7586473766990294e-05,False
44,0.2967577720119429,0.21443949102378282,0.9426229508196722,0.9213664421997755,0.9906915701788991,0.9906591808311765,3.5111757055874305e-05,False
